CIPCode,CIPTitle
01.0307,Horse Husbandry/Equine Science and Management
01.0504,Dog/Pet/Animal Grooming
01.1103,Horticultural Science
01.8101,"Veterinary Sciences/Veterinary Clinical Sciences, General"
01.8301,Veterinary/Animal Health Technology/Technician and Veterinary Assistant
09.0701,Radio and Television
09.0702,Digital Communication and Media/Multimedia
09.0799,"Radio, Television, and Digital Communication, Other"
10.0202,Radio and Television Broadcasting Technology/Technician
10.0203,Recording Arts Technology/Technician
10.0299,"Audiovisual Communications Technologies/Technicians, Other"
10.0304,"Animation, Interactive Technology, Video Graphics, and Special Effects"
10.9999,"Communications Technologies/Technicians and Support Services, Other"
11.0101,"Computer and Information Sciences, General"
11.0103,Information Technology
11.0201,"Computer Programming/Programmer, General"
11.0401,Information Science/Studies
11.0601,"Data Entry/Microcomputer Applications, General"
11.0801,"Web Page, Digital/Multimedia and Information Resources Design"
11.0901,Computer Systems Networking and Telecommunications
11.1001,Network and System Administration/Administrator
11.1006,Computer Support Specialist
12.0302,Funeral Direction/Service
12.0401,"Cosmetology/Cosmetologist, General"
12.0402,Barbering/Barber
12.0404,Electrolysis/Electrology and Electrolysis Technician
12.0406,Make-Up Artist/Specialist
12.0407,Hair Styling/Stylist and Hair Design
12.0408,Facial Treatment Specialist/Facialist
12.0409,Aesthetician/Esthetician and Skin Care Specialist
12.0410,Nail Technician/Specialist and Manicurist
12.0413,"Cosmetology, Barber/Styling, and Nail Instructor"
12.0414,Master Aesthetician/Esthetician
12.0499,"Cosmetology and Related Personal Grooming Arts, Other"
12.0500,"Cooking and Related Culinary Arts, General"
12.0501,Baking and Pastry Arts/Baker/Pastry Chef
12.0503,Culinary Arts/Chef Training
12.0599,"Culinary Arts and Related Services, Other"
12.9999,"Culinary, Entertainment, and Personal Services, Other"
13.0406,Higher Education/Higher Education Administration
13.1207,Montessori Teacher Education
14.1001,Electrical and Electronics Engineering
15.0403,Electromechanical/Electromechanical Engineering Technology/Technician
15.0501,"Heating, Ventilation, Air Conditioning and Refrigeration Engineering Technology/Technician"
15.0612,Industrial Technology/Technician
15.0799,"Quality Control and Safety Technologies/Technicians, Other"
15.0801,Aeronautical/Aerospace Engineering Technology/Technician
15.1201,Computer Engineering Technology/Technician
16.1701,English as a Second Language
19.0708,Child Care and Support Services Management
22.0302,Legal Assistant/Paralegal
23.0101,"English Language and Literature, General"
24.0102,General Studies
31.0507,Physical Fitness Technician
43.0103,Criminal Justice/Law Enforcement Administration
43.0107,Criminal Justice/Police Science
43.0203,Fire Science/Fire-fighting
46.0000,"Construction Trades, General"
46.0201,Carpentry/Carpenter
46.0301,"Electrical and Power Transmission Installation/Installer, General"
46.0302,Electrician
46.0303,Lineworker
46.0415,Building Construction Technology/Technician
47.0101,"Electrical/Electronics Equipment Installation and Repair Technology/Technician, General"
47.0201,"Heating, Air Conditioning, Ventilation and Refrigeration Maintenance Technology/Technician"
47.0303,Industrial Mechanics and Maintenance Technology/Technician
47.0402,Gunsmithing/Gunsmith
47.0403,Locksmithing and Safe Repair
47.0404,Musical Instrument Fabrication and Repair
47.0604,Automobile/Automotive Mechanics Technology/Technician
47.0605,Diesel Mechanics Technology/Technician
47.0606,Small Engine Mechanics and Repair Technology/Technician
47.0607,Airframe Mechanics and Aircraft Maintenance Technology/Technician
47.0608,Aircraft Powerplant Technology/Technician
47.0609,Avionics Maintenance Technology/Technician
47.0611,Motorcycle Maintenance and Repair Technology/Technician
47.0613,Medium/Heavy Vehicle and Truck Technology/Technician
47.0615,Engine Machinist
47.0616,Marine Maintenance/Fitter and Ship Repair Technology/Technician
48.0501,Machine Tool Technology/Machinist
48.0508,Welding Technology/Welder
48.0511,Metal Fabricator
48.0702,Furniture Design and Manufacturing
49.0102,Airline/Commercial/Professional Pilot and Flight Crew
49.0199,"Air Transportation, Other"
49.0205,Truck and Bus Driver/Commercial Vehicle Operator and Instructor
49.0304,"Diver, Professional and Instructor"
50.0401,"Design and Visual Communications, General"
50.0408,Interior Design
50.0410,Illustration
50.0602,Cinematography and Film/Video Production
50.0699,"Film/Video and Photographic Arts, Other"
50.0702,"Fine/Studio Arts, General"
50.0713,Jewelry Arts
50.0913,Music Technology
51.0000,"Health Services/Allied Health/Health Sciences, General"
51.0601,Dental Assisting/Assistant
51.0602,Dental Hygiene/Hygienist
51.0701,Health/Health Care Administration/Management
51.0705,Medical Office Management/Administration
51.0707,Health Information/Medical Records Technology/Technician
51.0710,Medical Office Assistant/Specialist
51.0711,Medical/Health Management and Clinical Assistant/Specialist
51.0713,Medical Insurance Coding Specialist/Coder
51.0714,Medical Insurance Specialist/Medical Biller
51.0716,Medical Administrative/Executive Assistant and Medical Secretary
51.0799,"Health and Medical Administrative Services, Other"
51.0801,Medical/Clinical Assistant
51.0802,Clinical/Medical Laboratory Assistant
51.0805,Pharmacy Technician/Assistant
51.0806,Physical Therapy Assistant
51.0812,Respiratory Therapy Technician/Assistant
51.0899,"Allied Health and Medical Assisting Services, Other"
51.0901,Cardiovascular Technology/Technologist
51.0904,Emergency Medical Technology/Technician (EMT Paramedic)
51.0907,Medical Radiologic Technology/Science - Radiation Therapist
51.0908,Respiratory Care Therapy/Therapist
51.0909,Surgical Technology/Technologist
51.0910,Diagnostic Medical Sonography/Sonographer and Ultrasound Technician
51.0911,Radiologic Technology/Science - Radiographer
51.0920,Magnetic Resonance Imaging (MRI) Technology/Technician
51.1001,Blood Bank Technology Specialist
51.1004,Clinical/Medical Laboratory Technician
51.1009,Phlebotomy Technician/Phlebotomist
