DATASET_YR	REPRJ_ID	INUN_ID	CURRENCY_CODE	AP_RECD_1ST_N	AP_ADMT_1ST_N	EN_1ST_N	AP_RECD_1ST_MEN_N	AP_RECD_1ST_WMN_N	AP_ADMT_1ST_MEN_N	AP_ADMT_1ST_WMN_N	EN_1ST_FT_MEN_N	EN_1ST_FT_WMN_N	EN_1ST_PT_MEN_N	EN_1ST_PT_WMN_N	AD_WAIT	AP_RECD_WAIT_N	AP_ACPT_WAIT_N	AP_ADMT_WAIT_N	EN_WAIT_N	AD_OPEN	AD_OPEN_T	AD_PREF	AD_PREF_T	AD_EAD	AD_INTL_BACH	AD_EACT	AD_EDEC	AD_DEFER	AD_HS_REQ_ALL	AD_HS_REQ_SOME	AD_HS_REQ_SOME_T	AP_DL_FRSH_MON	AP_DL_FRSH_DAY	AP_DL_FRSH_I	AP_NOTF_DL_FRSH_MON	AP_NOTF_DL_FRSH_DAY	AP_NOTF_DL_FRSH_I	AP_DL_NRES_MON	AP_DL_NRES_DAY	AP_DL_NRES_I	AP_DL_EDEC_2_MON	AP_DL_EDEC_2_DAY	AP_DL_EDEC_2_I	AP_NOTF_DL_EDEC_2_MON	AP_NOTF_DL_EDEC_2_DAY	AP_NOTF_DL_EDEC_2_I	AP_REPLY_DL_FRSH_MON	AP_REPLY_DL_FRSH_DAY	AP_REPLY_DL_FRSH_T	AP_REPLY_DL_NRES_MON	AP_REPLY_DL_NRES_DAY	AP_REPLY_DL_NRES_T	AP_REPLY_DL_EDEC_1_MON	AP_REPLY_DL_EDEC_1_DAY	AP_REPLY_DL_EDEC_1_T	AP_REPLY_DL_EDEC_2_MON	AP_REPLY_DL_EDEC_2_DAY	AP_REPLY_DL_EDEC_2_T	AP_REPLY_DL_EACT_MON	AP_REPLY_DL_EACT_DAY	AP_REPLY_DL_EACT_T	AP_REPLY_DL_TFER_MON	AP_REPLY_DL_TFER_DAY	AP_REPLY_DL_TFER_T	AP_NOTF_DL_NRES_MON	AP_NOTF_DL_NRES_DAY	AP_NOTF_DL_NRES_I	AP_DL_EDEC_1_MON	AP_DL_EDEC_1_DAY	AP_DL_EDEC_1_I	AP_DL_TFER_MON	AP_DL_TFER_DAY	AP_DL_TFER_I	AP_NOTF_DL_EDEC_1_MON	AP_NOTF_DL_EDEC_1_DAY	AP_NOTF_DL_EDEC_1_I	AP_DL_EACT_MON	AP_DL_EACT_DAY	AP_DL_EACT_I	AP_NOTF_DL_EACT_MON	AP_NOTF_DL_EACT_DAY	AP_NOTF_DL_EACT_I	AP_NOTF_DL_TFER_MON	AP_NOTF_DL_TFER_DAY	AP_NOTF_DL_TFER_I	AP_FEE_RES_D	AP_FEE_NRES_D	AP_FEE_INTL_D	AP_RECD_EDEC_N	AP_ADMT_EDEC_N	AP_RECD_EACT_N	AP_ADMT_EACT_N	EN_EACT_N	AP_COMMON	AP_ELECTRONIC	AD_VIDEO	AD_VIEWBOOK	AD_DIFF_ALL	AD_DIFF_NRES	AD_DIFF_TFER	AD_DIFF_GRP	AD_DIFF_GRP_T	AD_INTL	AD_INTL_TFER	AP_RECD_INTL_N	AP_ADMT_INTL_N	EN_INTL_N	AP_DL_INTL_DAY	AP_DL_INTL_MON	AP_DL_INTL_I	AD_INTL_FALL	AD_INTL_SPRI	AD_INTL_SUMM	AD_INTL_WINT	AD_TOEFL_SCORE	AD_TOEFL_SCORE_ESL	AD_ELS_LVL	AD_TFER_FALL	AD_TFER_WINT	AD_TFER_SPRI	AD_TFER_SUMM	EN_1ST_FT_N	EN_1ST_PT_N	AD_TOEFL_CMPTR_SCORE	AD_TOEFL_CMPTR_SCORE_ESL	AD_TFER_GRADE	AD_TFER_CRDT_2_N	AD_TFER_CRDT_4_N	AD_TFER_CRDT_4_UNIT	AD_TFER_CRDT_2_UNIT	AD_INTL_PREV	AP_RECD_INTL_PREV_N	AP_ADMT_INTL_PREV_N	EN_INTL_PREV_N	AD_INTL_TFER_FA	AD_TOEFL_WAIV	AP_DL_TFER_WINT_MON	AP_DL_TFER_WINT_DAY	AP_DL_TFER_WINT_I	AP_DL_TFER_SPRI_MON	AP_DL_TFER_SPRI_DAY	AP_DL_TFER_SPRI_I	AP_DL_TFER_SUMM_MON	AP_DL_TFER_SUMM_DAY	AP_DL_TFER_SUMM_I	AP_NOTF_DL_TFER_WINT_MON	AP_NOTF_DL_TFER_WINT_DAY	AP_NOTF_DL_TFER_WINT_I	AP_NOTF_DL_TFER_SPRI_MON	AP_NOTF_DL_TFER_SPRI_DAY	AP_NOTF_DL_TFER_SPRI_I	AP_NOTF_DL_TFER_SUMM_MON	AP_NOTF_DL_TFER_SUMM_DAY	AP_NOTF_DL_TFER_SUMM_I	AP_SAT1_ACT_DL_MON	AP_SAT1_ACT_DL_DAY	AP_SAT2_DL_MON	AP_SAT2_DL_DAY	AD_TFER_CLEP_SUBJECT	AD_TFER_CLEP_GEN	AD_TFER_CRDT_DANTES	AD_TFER_CRDT_LEARN	AD_TFER_CRDT_ACPT_YR	AD_TFER_CRDT_ANY_YR	AD_TFER_CRDT_MILITARY	AD_TFER_CRDT_ACE	AD_TFER_CRDT_EXCELSIOR	AD_TFER_CRDT
2018	12	5000	USD	10252	5217		4058	6194	1949	3268					N					N		N		Y	Y	Y	N	N	GED			2	15		3	15																																					C										9	1	C	50.00					5599	3691			Y	Y	Y	MOD		MOD																		X		X	X																																		2	15	2	15	X					X		N		Y
2018	12	5001	USD												N					N		N		N	N	N	N	Y																																													C												C	0.00									Y	N	N	MIN		MIN																		X	X	X	X																																													N		Y
2018	12	5002	USD	2927	2325		1264	1663	998	1327					N					N		N		Y	Y	N	N	Y	GED																																																									20.00									Y	Y	N	MIN																																																																						
2018	12	5003	USD				672	39	605	38					N					Y	for applicants to associate of applied sciences programs and the Aviation Training Institute	N		N	Y	N	N	N	GED					C			C																																				C												C	40.00									Y	N	Y	MOD		MOD	VERY	mechatronic engineering, mechanical engineering, electronic engineering																X		X	X																																		6	1	6	1		X			10			Y		Y
2018	12	5004	USD	2529	2529		1053	1476	1053	1476					N					Y		N		Y	Y	N	N	Y	GED					C			C																																				C												C	50.00									Y	Y	N	NONC		MIN																		X		X	X																																													N		Y
2018	12	5007	USD	241	211		114	127	95	116					N					N		N		N	N	N	N	Y	GED					C			C																																				C												C	0.00									Y	Y	Y	MIN		MIN																		X	X	X																																							X	X				X		N		Y
2018	12	5008	CAD	4407	1263		1885	2522	547	716					N					N		N		N	Y	N	N	Y	REQ	NON	adult students	7	1				C																														C				7	1													C	40.00									Y	N	Y	MOD		MOD	NONC	mature students																X	X																																															N		Y
2018	12	5009	USD	1791	1771		804	987	794	977					N					N		N		Y	Y	N	N	Y	GED					C			C																																				C												C	30.00									Y	N	Y	MOD		MOD																		X		X	X																																		8	1			X	X	X	X	10			Y		Y
2018	12	5010	USD	11851	8666		4102	7749	2864	5802					N					N		N		N	Y	Y	N	Y	GED					C			C																																				C				12	1		12	31				C	40.00					4226	3527			Y	Y	Y	MOD		MOD	VERY	Honors College																X		X																																										X	10			Y		Y
2018	12	5011	USD	2006	1947		852	1154	828	1119					N					Y	The Nursing AAS degree program has a separate admissions policy	N				N	N		GED																																																									35.00									Y	N	N	MIN		MIN	MOD	nursing AAS degree program																X	X	X	X																																															Y
2018	12	5012	USD	4675	2631		2865	1810	1419	1212					N					N		N		N	Y	N	N	Y	GED			8	1				C																																		8	1													C	0.00									Y	N	N	MOD		MOD																		X		X																																			8	1	8	1	X			X		X		N		Y
2018	12	5013																																																																																																																																																																						
2018	12	5016		1534	1006		0	1534	0	1006					Y					N		N		Y	Y	Y	Y	Y	GED			5	1		4	15																																11	1		6	1		12	1		11	15		1	15				C				24	22					Y	Y	N	MOD		MOD																		X		X																																												X		N		Y
2018	12	5017	USD	1289	705		516	773	316	389					N					Y	except for health programs	N		N		N	N	Y	GED					C			C																																				C												C	0.00									Y	Y	Y	NONC		NONC	VERY	health programs																X		X	X																																						X	X	X			X				Y
2018	12	5018																		Y		N		Y		N	N	Y	NON					C																																							C																							N		NONC		NONC																																																																				
2018	12	5020	USD	5363	2725		2271	3092	1124	1601					N					N		N		N		N	N	Y	GED			6	15				C																																				C												C	10.00									Y	Y	Y	MIN		MOD																		X		X	X																																															
2018	12	5024	USD	2446	1110										N					N		N		Y	Y	N	N	Y	GED					C			C																																				C												C	0.00									Y	Y	Y	MIN		MIN																		X		X	X																																		7	31	7	31		X	X			X		Y		Y
2018	12	5026	USD	6842	6696										N					N		N		Y	N	N	N	Y	GED			7	31				C																																		7	31													C	25.00									Y	Y	N	MIN		MIN																		X		X	X																																		7	31	7	31	X	X				X		N		Y
2018	12	5029	USD												N					Y		N		N	N	N	N	Y	GED			7	1	C	7	15	C																																		7	1	C										7	15	C	35.00									Y	Y	N	MIN		MIN																		X		X																																					8	15										Y
2018	12	5031	USD	474	261		141	333	89	172					N					N		N		N	Y	N	N	Y	GED			8	1				C																														C				8	1													C	25.00									Y	N	Y	MIN		MIN																		X		X	X																																						X	X	X	X		X		Y		Y
2018	12	5032													N					N		N		N		N	N	Y	GED					C																																							C																						N	N	N	MIN		MIN																																																											X									
2018	12	5033	USD	1583	1067		545	1038	362	705					N					N		N		Y	N	N	Y	N	GED			2	1		2	1																																11	15		5	1		12	1								5	15		75.00			99	86					Y	Y	Y	MOD		MOD																		X		X																																			2	1	2	1	X					X		Y		Y
2018	12	5037	USD				775	2140	406	1042					N					N		N		Y	Y	N	N	Y	GED								C																														C																		C	25.00									Y	Y	Y	MIN		MIN																		X		X	X																																		6	1			X					X				Y
2018	12	5038	CAD	561	208		155	406	52	156					Y					N		N		N	Y	N	Y	N	GED	NON	mature applicants who are Canadian citizens/permanent residents; applicants to the Artstream program	2	1		3	15																													3	15					4	1											5	30		85.00									Y	Y	Y	MOD		MOD																		X																																												X	10			N		Y
2018	12	5039	USD	780	519		293	487	180	339					N					N		N		N	N	N	N	Y	GED					C			C																																				C												C	35.00									Y	N	Y	MOD		MOD																		X		X																																			8	30			X	X	X	X						Y
2018	12	5040	USD	3884	2742		1841	2043	1228	1514					N					N		N		Y	Y	Y	N	Y	GED					C	10	15	C																																		8	15	C				12	1				C	8	15	C	0.00					2164	1126			Y	Y	Y	MOD		MOD																		X		X																																			3	1	3	1	X	X				X		N		Y
