DATASET_YR	REPRJ_ID	INUN_ID	EN_SYS_N	EN_FRSH_FT_MEN_N	EN_FRSH_FT_WMN_N	EN_FRSH_PT_MEN_N	EN_FRSH_PT_WMN_N	EN_OTH_1ST_FT_MEN_N	EN_OTH_1ST_FT_WMN_N	EN_OTH_1ST_PT_MEN_N	EN_OTH_1ST_PT_WMN_N	EN_DEG_FT_MEN_N	EN_DEG_FT_WMN_N	EN_DEG_PT_MEN_N	EN_DEG_PT_WMN_N	EN_CRDT_FT_MEN_N	EN_CRDT_FT_WMN_N	EN_CRDT_PT_MEN_N	EN_CRDT_PT_WMN_N	GRS_BACH_INIT_N	GRS_BACH_EXCLUDE_N	GRS_BACH_ADJUST_N	GRS_4YR_N	GRS_5YR_N	GRS_6YR_N	GRS_BACH_TOT_N	GRS_BACH_TOT_P	GRS_ASSOC_INIT_N	GRS_ASSOC_EXCLUDE_N	GRS_ASSOC_ADJUST_N	GRS_2YR_LESS_N	GRS_2YR_LESS_150_N	GRS_2YR_MORE_N	GRS_2YR_MORE_150_N	GRS_TFER_TOT_N	GRS_TFER_2YR_N	GRS_TFER_4YR_N	FRSH_GPA_SUBMIT_P	EN_TFER_N	EN_UG_FT_MEN_N	EN_UG_FT_WMN_N	EN_UG_PT_MEN_N	EN_UG_PT_WMN_N	EN_FP_FT_MEN_N	EN_FP_FT_WMN_N	EN_FP_PT_MEN_N	EN_FP_PT_WMN_N	EN_GRAD_FT_MEN_N	EN_GRAD_FT_WMN_N	EN_GRAD_PT_MEN	EN_GRAD_PT_WMN_N	EN_TOT_FT_MEN_N	EN_TOT_FT_WMN_N	EN_TOT_PT_MEN_N	EN_TOT_PT_WMN_N	EN_TOT_UG_N	EN_TOT_N	EN_ALIEN_N	EN_BLACK_N	EN_NATIVE_N	EN_ASIAN_N	EN_HISPANIC_N	EN_WHITE_N	EN_UNKNOWN_N	EN_ETHNIC_TOT_N	EN_OLD_P	EN_NRES_P	UG_STATE_N	UG_COUNTRY_N	FRSH_HS_RANK_SUBMIT_P	FRSH_HS_RANK_50_P	FRSH_HS_RANK_25_P	FRSH_HS_RANK_10_P	FRSH_GPA	FULBRIGHT_N	MARSHALL_N	RHODES_N	FRSH_WSTNGHOUSE_N	FRSH_NAT_MERIT_N	FRSH_PRES_N	FRSH_VALED_N	FRSH_STUD_GOVT_N	RETENTION_FRSH_P	ASSOC_TO_4YR_P	BACH_TO_GRAD_P	BACH_TO_GRAD_BUS_P	BACH_TO_GRAD_ENG_P	BACH_TO_GRAD_LAW_P	BACH_TO_GRAD_THEO_P	BACH_TO_GRAD_DENT_P	BACH_TO_GRAD_ART_SCI_P	BACH_TO_GRAD_MED_P	BACH_TO_GRAD_VET_P	BACH_TO_GRAD_EDU_P	BACH_TO_GRAD_OTH_P	CERTIF_DIPLOMA_N	DEG_ASSOC_N	DEG_BACH_N	CERTIF_POST_BACH_N	DEG_MASTER_N	CERTIF_POST_MASTER_N	DEG_DOCTOR_N	DEG_FP_N	CERTIF_FP_N	EN_AGE_UP_21_P	EN_AGE_22_24_P	EN_AGE_25_29_P	EN_AGE_30_45_P	EN_AGE_46_UP_P	ACAD_YR	ACAD_YR_OUTCOME	GRS_COHORT_YR	RETENTION_COHORT_YR	DEG_DOCTOR_OTH_N	DEG_DOCTOR_PROF_N	DEG_DOCTOR_RESEARCH_N	EN_GRAD_ALL_FT_MEN_N	EN_GRAD_ALL_FT_WMN_N	EN_GRAD_ALL_PT_MEN_N	EN_GRAD_ALL_PT_WMN_N	EN_NONRES_ALIEN_N	EN_HISPANIC_ETHNICITY_N	EN_BLACK_NONHISPANIC_N	EN_WHITE_NONHISPANIC_N	EN_NATIVE_NONHISPANIC_N	EN_ASIAN_NONHISPANIC_N	EN_ISLANDER_NONHISPANIC_N	EN_MULTIRACE_NONHISPANIC_N	EN_RACE_ETHNICITY_UNKNOWN_N	EN_RACE_ETHNICITY_TOT_N	FRSH_GPA_WEIGHTED	GRS_BACH_INIT_PELL_N	GRS_BACH_EXCLUDE_PELL_N	GRS_BACH_ADJUST_PELL_N	GRS_4YR_PELL_N	GRS_5YR_PELL_N	GRS_6YR_PELL_N	GRS_BACH_PELL_N	GRS_BACH_PELL_P	GRS_BACH_INIT_STAFFORD_N	GRS_BACH_EXCLUDE_STAFFORD_N	GRS_BACH_ADJUST_STAFFORD_N	GRS_4YR_STAFFORD_N	GRS_5YR_STAFFORD_N	GRS_6YR_STAFFORD_N	GRS_BACH_STAFFORD_N	GRS_BACH_STAFFORD_P	GRS_BACH_INIT_NO_AID_N	GRS_BACH_EXCLUDE_NO_AID_N	GRS_BACH_ADJUST_NO_AID_N	GRS_4YR_NO_AID_N	GRS_5YR_NO_AID_N	GRS_6YR_NO_AID_N	GRS_BACH_TOT_NO_AID_N	GRS_BACH_TOT_NO_AID_P
2018	12	5000		379	561	12	20	56	48	1	1	1020	1444	48	65	2	2	7	4	864	2	862	415	103	11	529	61.00											82.00	106	1457	2055	68	90									1535	2315	503	796	3670	5149									2.00	11.00	50	42	64.00	84.00	54.00	22.00	3.62					1		8		76.50		33.00											1	3	746	11	267											2011			3			78	260	435	706	143	625	320	2329	10	43	4	174	7	3655		224	0	224	76	34	5	115	51.00	252	1	251	119	34	2	155	62.00	388	1	387	220	35	4	259	67.00
2018	12	5001		0	0	0	0	0	0	0	0	14	19	80	118	0	0	0	0																					14	19	80	118									45	79	428	827	231	1379									98.00	0.00	1	0																													106		317																	31	60	348	709																																			
2018	12	5002		498	549	22	48	676	625	233	416	69	56	17	81	2	0	5	30																			88.98	610	1245	1230	277	575									1245	1230	277	575	3327	3327									17.80	2.20	17	11	70.73	42.88	22.83	7.88	2.85									67.00													2	398	84																																																									
2018	12	5003		209	34	10	0	133	18	18	5	727	106	200	33	1	0	2	0	66	0	66	24	9	1	34	52.00											63.00	185	1070	158	230	38													1496	1501									40.00	12.00			0.00																										2	156	111													2011						1	0	2	2	80	491	273	189	7	158	14	29	252	1493		51	0	51	18	9	1	28	55.00	9	0	9	2	0	0	2	22.00	6	0	6	4	0	0	4	67.00
2018	12	5004		200	284	114	215	183	175	126	212	1633	1932	992	1454	6	9	40	77	835	0	835	46	203	75	324	39.00												950	2022	2400	1272	1958									2898	3881	1835	3058	7652	11672									39.00	44.00	50	103														76.00													2	235	1065		1270											2011						876	1481	563	1100	2211	862	502	1392	37	487	54	232	1875	7652		285	0	285	4	49	18	71	25.00	159	0	159	8	37	14	59	37.00	391	0	391	34	117	43	194	50.00
2018	12	5007		47	57	2	0	14	6	1	1	92	98	5	3	0	0	0	0	81	0	81	30	7	2	39	48.00											100.00	33	153	161	8	4									157	161	8	4	326	330									7.00	30.00	23	5					3.3									76.00														10	63		1											2011						4	0	0	0	6	23	51	227	5	7	2	7	3	331		29	0	29	8	3	0	11	38.00	22	0	22	9	1	1	11	50.00	30	0	30	13	3	1	17	57.00
2018	12	5008		293	426	12	7	86	82	3	6	973	1399	35	31	14	14	12	41																				272	1366	1921	62	85									1400	1986	144	295	3434	3825									7.00	48.00	13	64														78.50													64		781		214																	34	65	82	210																																			
2018	12	5009		196	181	14	6	113	71	56	24	459	487	159	110	8	2	29	34	483	3	480	120	41	10	171	36.00											95.21	212	776	741	258	174									861	1013	630	804	1949	3308													83.00	55.00	25.00	9.00	3.1									61.00														168	346		411											2011						85	272	372	630	13	679	114	774	35	11	15	77	231	1949																									
2018	12	5010		362	759	4	6	126	271	11	34	1034	2306	78	171	7	9	41	47	979	0	979	539	107	15	661	67.50											97.00	442	1529	3345	134	258									1909	4420	466	1183	5266	7978									11.00	6.00	36	46	28.00	89.00	58.00	26.00	3.52									80.00	31.00												0	37	1245	8	902	108										2011			0	6	28	380	1075	332	925	210	871	468	2676	8	560	1	114	358	5266		340	0	340	165	35	3	203	59.70	264	0	264	154	28	5	187	70.80	375	0	375	220	44	7	271	72.30
2018	12	5011		421	449	28	46	56	78	21	37	519	650	244	486	7	9	440	482									886			0		228	228				92.00	192	1003	1186	733	1051									1003	1186	733	1051	3973	3973									25.00	0.90	10	19														63.00													38	629	0	0	0	0										2014										8	138	132	3039	19	37	1	90	509	3973																									
2018	12	5012		215	179	38	15	104	64	7	5	467	518	5	10	5	1	6	8	483	0	483	204	58	1	263	54.00											56.00	58	791	762	56	38									797	765	56	38	1647	1656									0.02	21.00	29	5					3.23									70.00														2	275													2007						6	3	0	0	1	38	163	1233	6	9	1	62	134	1647																									
2018	12	5013																																																																																																																																																									
2018	12	5016		0	251	0	0	0	11	0	0	0	623	0	5	4	24	0	3	227	0	227	140	10	1	151	66.50											95.00	11	4	909	0	8									4	909	0	8	921	921									1.00	46.00	46	27	51.00	91.00	65.00	30.00	3.77									86.80															198													2011										75	106	269	320	2	67	2	62	18	921		128	0	128	80	8	0	88	68.80	56	0	56	33	1	0	34	60.70	43	0	43	27	1	1	29	67.40
2018	12	5017		103	86	160	222	20	35	32	121	183	266	320	711	0	1	33	64									435	0	435	17	8	39	39	72				838	306	388	545	1118									306	388	545	1118	2357	2357									41.00	14.00																57.00													230	249														2011										0	108	750	1298	15	28	3	21	36	2259																									
2018	12	5018		167	153	181	208	78	68	66	106	488	556	486	812	117	74	405	623																					850	851	1138	1749									850	851	1138	1749	4588	4588									48.00																	80.00																																																																								
2018	12	5020		542	567	4	6	82	112	8	11	1570	1717	146	165	1	1	2	6	1198	800	398	148	166	84	398	100.00												215	2195	2397	160	188									2330	2695	314	475	4940	5814									13.00	31.00																75.00													0		530	0	206	0										2004					16	135	298	154	287	43	16	4748	101	3	9			20	4940																									
2018	12	5024		153	158	9	13	56	72	17	34	487	816	158	299	1	1	179	219	307	3	304	36	33	15	84	27.60											18.40	549	697	1047	363	565									938	1376	428	608	2672	3350									42.00	13.00	42	29					3.36									58.00														13	532		171											2011				75	4	241	329	65	43	59	49	1153	1283	5	14	10	53	46	2672	X	134	1	133	7	7	8	22	16.54	109	2	107	18	19	5	42	39.25	64	0	64	11	7	2	20	31.25
2018	12	5026		349	602	8	8	298	452	29	38	801	1360	99	143	1	3	12	5	1100	0	1100	124	130	50	304	28.00											85.00	102	1449	2417	148	194									1542	2649	210	359	4208	4760									16.00	34.00	40	24	35.00	65.00	34.00	18.00	2.9									59.00															743	0	139	17										2011				27	2	93	232	62	165	45	40	3943	65	7	13	3	45	47	4208																									
2018	12	5029		4	2	0	0	1	1	0	0	18	3	2	2	0	0	9	8																				20	23	6	11	10									23	6	11	10	50	50									15.00	10.00	7	2														20.00													2	2	2	0																							2	1	43	2			2		50																									
2018	12	5031		13	26	0	2	21	28	10	15	38	63	15	35	9	11	3	5	33	0	33	12	3	1	16	48.00											85.00	55	81	128	28	57									103	166	110	168	294	547												2	0.00	0.00	0.00	0.00	3.22									46.34													0	9	40	24	58	0										2011			0	5	0	22	38	82	111	0	4	12	163	41	8	2	35	29	294																									
2018	12	5032		25	80	0	4					49	200	29	82	0	0	1	0																					74	280	30	86									74	280	30	86	470	470									51.00	0.00	1	0														45.00																																																																								
2018	12	5033		79	132	0	2	11	16	3	7	333	482	5	6	1	1	0	0	288	0	288	213	8	2	223	77.00											100.00	60	424	631	8	15									620	911	9	19	1078	1559									10.00	23.00	30	35	79.00	99.00	79.00	40.00	3.6									80.00															32		26											2008				271		196	280	1	4	72	49	37	686	4	152	1	9	66	1076																									
2018	12	5037		145	286	1	5	45	84	6	14	557	1070	128	235	2	5	5	6	883	0	883	47	160	64	271	31.00											100.00	150	749	1445	140	260													2594	3041									21.00				58.00	70.00	32.00	11.00	2.94									67.10															561		162	14										2010						44	171	63	169	11	48	2314	117	8	2	0	31	45	2576																									
2018	12	5038		51	153	1	3	50	130	5	17	185	465	9	37	2	7	11	24	210	0	210	62	35	4	101	48.00												84	288	755	26	81									288	755	26	81	1150	1150									19.00	12.00	11	22														67.00															212													2011										56				54				996	1106																									
2018	12	5039		55	77	1	2	94	214	12	33	214	380	30	106	0	0	0	2	193	0	193	52	26	7	85	44.00											92.00	113	363	671	43	143									429	846	69	211	1220	1555									53.40	5.25	10	3	10.00	58.00	37.00	5.00	2.6								16	84.00													1	42	290	4	155											2010						66	175	26	68	20	222	415	439	3	6	0	11	102	1218																									
2018	12	5040		249	266	0	0	15	13	0	0	473	536	3	3	0	2	3	5	385	0	385	179	33	7	219	56.90											93.60	46	737	817	6	8									737	817	6	8	1568	1568									1.00	23.00	28	18					3.35									79.00		30.00													288													2011						0				28	143	199	1013	3	41	1	49	81	1558		127	0	127	58	10	2	70	55.10	152	0	152	67	12	3	82	53.90	106	0	106	54	11	2	67	63.20
2018	12	5041		211	254	0	0	0	0	0	0	597	931	4	2	0	0	8	8	519	0	519	226	45	5	276	53.00											99.80	34	808	1185	12	10									808	1185	16	27	2015	2036									1.00	40.00	28	14	68.00	73.00	37.00	15.00	3.2									68.80		20.00													563		9											2011						0	0	4	17	36	249	419	1024	17	51	0	33	170	1999	X	234	0	234	89	26	2	117	50.00	200	0	200	95	13	2	110	55.00	85	0	85	42	6	1	49	58.00
2018	12	5042		950	1089	793	883	978	977	3345	3911	1141	1507	2883	4797	21	21	460	686									2480		2360		65		343	98				992	3090	3594	7481	10277									3090	3594	7481	10277	24442	24442									40.00	0.60		1																											8032	4875														2013										11	12509	654	6924	1589	541	55	567	1592	24442																									
2018	12	5043		284	448	5	5	156	289	12	41	612	1104	53	116	0	0	18	29	659		659	104	76	36	216	33.00											85.00	149	1052	1841	88	191									1117	1966	183	450	3172	3716									11.00	28.00	35	31	60.00				3.18									75.00														5	433		172	1										2011						65	125	95	259	87	16	2882	102	6	3		76		3172																									
