DATASET_YR	REPRJ_ID	INUN_ID	ADMS	COUNSEL	SAT1_VERB_200_P	SAT1_VERB_300_P	SAT1_VERB_400_P	SAT1_VERB_500_P	SAT1_VERB_600_P	SAT1_VERB_700_P	SAT1_MATH_200_P	SAT1_MATH_300_P	SAT1_MATH_400_P	SAT1_MATH_500_P	SAT1_MATH_600_P	SAT1_MATH_700_P	ACT_1_P	ACT_2_P	ACT_3_P	ACT_4_P	ACT_5_P	ACT_6_P	SAT1_VERB_MEAN	SAT1_MATH_MEAN	ACT_MEAN	SAT1_VERB_670_800_P	SAT1_MATH_600_800_P	SUBMIT_P	SUBMIT_SAT1_P	SUBMIT_ACT_P	PLACE_ONLY	ADMS_PLACE	ADMS_COUNSEL	SAT1_VERB_25TH_P	SAT1_VERB_75TH_P	SAT1_MATH_25TH_P	SAT1_MATH_75TH_P	ACT_COMP_25TH_P	ACT_COMP_75TH_P	ACT_WRITING	SAT_NEW	SAT1_WRITING_200_P	SAT1_WRITING_300_P	SAT1_WRITING_400_P	SAT1_WRITING_500_P	SAT1_WRITING_600_P	SAT1_WRITING_700_P	SAT1_WRITING_25TH_P	SAT1_WRITING_75TH_P	SAT1_WRITING_MEAN	ESSAY_ADMIS_ACT	ESSAY_ADMIS_SAT	ESSAY_ADVISING_ACT	ESSAY_ADVISING_SAT	ESSAY_AP_SUBST_ACT	ESSAY_AP_SUBST_SAT	ESSAY_AP_VALID_ACT	ESSAY_AP_VALID_SAT	ESSAY_NO_ACT	ESSAY_NO_SAT	ESSAY_NO_POLICY_ACT	ESSAY_NO_POLICY_SAT	ESSAY_PLACE_ACT	ESSAY_PLACE_SAT	ADMS_OPTIONAL	SAT_ESSAY
2018	12	5000	Y		0.00	0.44	18.24	43.96	32.74	4.62	0.00	0.88	17.80	53.19	25.27	2.86	0.00	0.00	3.95	45.56	42.24	8.28	566	558	24				47.00	52.00				510.00	620.00	515.00	600.00	21.00	26.00	ACTC											X	X			X	X										SATC
2018	12	5001																																																																
2018	12	5002	Y																										52.00	18.00										ACTB																			X	X						
2018	12	5003	Y		0.00	1.00	29.00	59.00	10.00	1.00	0.00	0.00	23.00	66.00	10.00	1.00	0.00	0.00	0.00	57.00	43.00	0.00							94.00	6.00				452.00	548.00	469.00	552.00	19.00	23.00	ACTB													X	X	X	X	X	X								SATB
2018	12	5004	N																																																															
2018	12	5007	Y		0.00	3.00	30.00	45.00	18.00	4.00	0.00	6.00	35.00	42.00	14.00	3.00	0.00	0.00	23.00	55.00	18.00	4.00	533	512	21				87.00	23.00				500.00	600.00	470.00	563.00	19.00	23.00	ACTB													X	X												SATW
2018	12	5008	N																																																															
2018	12	5009	Y		0.00	3.17	52.38	38.10	6.35	0.00	0.00	3.17	44.44	47.62	4.77	0.00	0.00	0.00	20.18	59.04	18.98	1.81							17.00	84.00				430.00	540.00	450.00	540.00	17.00	22.00	ACTB																					X	X				SATB
2018	12	5010	Y		0.00	0.10	8.10	54.60	32.10	5.10	0.00	0.00	9.10	55.40	28.60	6.90	0.00	0.00	1.40	37.40	48.10	13.10	578	578	25				68.00	26.00				530.00	620.00	530.00	620.00	22.00	27.00	ACTB																										SATB
2018	12	5011	N																																																															
2018	12	5012	Y														0.00	0.00	4.00	60.00	32.00	4.00			23					96.00								19.00	24.00	ACTB																			X	X						
2018	12	5013																																																																
2018	12	5016	Y		0.00	0.90	1.70	34.80	40.00	22.60	0.00	0.90	6.10	63.50	26.10	3.50	0.00	0.00	0.90	22.60	49.10	27.40	628	569	27				46.00	42.00				580.00	690.00	530.00	610.00	24.00	30.00																										X	
2018	12	5017	N																																																															
2018	12	5018																																																																
2018	12	5020	Y														0.00	0.00	53.00	43.00	4.00	0.00							14.00	84.00								16.00	19.00																											
2018	12	5024	Y		0.00	2.86	37.14	40.00	17.14	2.86	0.00	2.86	34.29	51.42	11.43	0.00	0.00	0.38	13.53	69.92	15.79	0.38	515	523	20				36.00	266.00				460.00	590.00	460.00	560.00	18.00	22.00	ACTB																					X	X				SATB
2018	12	5026	Y		0.00	13.29	49.13	34.10	3.48	0.00	1.16	17.92	50.29	28.32	1.73	0.58	0.00	0.12	57.56	37.24	4.96	0.12	434	428	17				18.00	85.00				380.00	485.00	375.00	481.00	16.00	20.00	ACTC																			X	X						SATC
2018	12	5029	Y																																																															
2018	12	5031	N																																																															
2018	12	5032	Y																																																															
2018	12	5033	Y														0.00	0.00	0.00	30.00	59.00	11.00			25				91.00	46.00								23.00	28.00	ACTW											X	X											X	X		
2018	12	5037	Y														0.00	0.00	28.00	67.00	5.00	0.00							65.00	66.00								17.00	20.00	ACTB																			X	X	X	X				SATB
2018	12	5038	N																																																															
2018	12	5039															0.00	0.00	9.00	38.00	48.00	5.00			24				78.60	7.00								19.00	29.00	ACTC																					X	X				
2018	12	5040	Y		0.00	1.20	18.60	50.00	27.50	2.70	0.00	1.50	22.70	53.30	18.90	3.60	0.00	0.00	3.70	52.40	36.50	7.40	557	542	23				65.00	53.00				510.00	610.00	500.00	590.00	20.00	26.00	ACTB																					X	X				SATB
2018	12	5041	Y		0.00	0.00	22.00	54.00	23.00	1.00	0.00	2.00	24.00	56.00	17.00	1.00	0.00	0.00	9.00	47.00	38.00	6.00			23				71.00	19.00				500.00	590.00	490.00	580.00	19.00	26.00	ACTB																			X	X					X	SATB
2018	12	5042	N																																																															
2018	12	5043	Y														0.00	0.00	37.00	42.00	19.00	0.00			19				16.00	84.00								17.00	22.00	ACTB																			X	X						
2018	12	5045	Y														0.00	0.00	16.00	63.00	20.00	1.00			21				35.00	64.00								18.00	23.00	ACTB																					X	X				
2018	12	5046	Y																										0.00	100.00																																				
2018	12	5047	N																																																															
2018	12	5050	Y		0.00	0.34	23.04	49.62	20.40	6.60	0.00	1.00	23.11	48.93	20.51	6.45	0.00	0.10	12.45	61.10	25.15	1.20	550	560	23				90.00	29.00				490.00	610.00	500.00	600.00	20.00	26.00	ACTB																X			X	X						SATB
2018	12	5051	Y		0.00	0.00	50.00	38.00	12.00	0.00	0.00	0.00	62.00	38.00	0.00	0.00	0.00	0.00	17.00	65.00	15.00	3.00			21				4.00	96.00				490.00	540.00	450.00	490.00	18.00	23.00	ACTB																					X	X				SATB
2018	12	5052	N																																																															
2018	12	5053	Y																																																															
2018	12	5054	Y		0.00	0.00	5.00	27.00	53.00	15.00	0.00	0.00	5.00	38.00	51.00	6.00	0.00	0.00	4.00	25.00	50.00	21.00	620	604	26				50.00	34.00				580.00	670.00	560.00	650.00	23.00	29.00	ACTC																					X	X			X	SATC
2018	12	5055	Y																										0.00	0.00										ACTB																			X	X						
2018	12	5056	N																																																															
2018	12	5058	Y		0.00	1.00	18.00	44.00	31.00	6.00	0.00	2.00	21.00	47.00	26.00	4.00	0.00	0.00	5.00	30.00	55.00	10.00	567	556	26				86.00	23.00				510.00	618.00	500.00	610.00	23.00	27.00	ACTB																					X	X			X	SATW
2018	12	5059	Y														0.00	0.00	100.00	0.00	0.00	0.00																																												
2018	12	5061	Y		0.00	0.58	13.70	46.60	33.33	5.79	0.00	1.40	16.00	54.50	26.08	2.02	0.00	0.00	1.75	54.45	37.30	6.50	574	556	23				85.00	41.00				520.00	630.00	510.00	600.00	20.00	27.00	ACTB																										SATB
2018	12	5063	N																										0.00	75.00																																				
2018	12	5064	Y																						21				90.00	32.00								19.00	23.00	ACTB																			X	X						
2018	12	5065	Y														0.00	0.00	28.88	62.03	7.49	1.60			20				2.00	97.00								17.00	22.00	ACTB																			X	X						
2018	12	5066	N																																																															
2018	12	5067	N																																																															
2018	12	5069	N																																																															
2018	12	5070	N																																																															
2018	12	5072	N																																																															
2018	12	5073	N																																																															
2018	12	5074	N																																																															
2018	12	5075	N																																																															
2018	12	5077	Y																										0.00	0.00																													X	X						
2018	12	5079	Y														0.00	0.00	18.00	36.00	18.00	28.00			21				64.00	37.00																													X	X						
2018	12	5085	Y																																																X	X					X	X								
2018	12	5087	Y																																																															
2018	12	5097	N																																																															
2018	12	5099																																																																
