DATASET_YR	REPRJ_ID	INUN_ID	EXAM_CODE	STUD_I	ADMS_REQ	ADMS_REC	ADMS_RFS	PLACE_REQ	PLACE_REC	PLACE_RFS	DESCR	ADMS_CONSIDER	ADMS_NOT_USED
2018	12	5000	S1A	D	X								
2018	12	5002	S1A	D	X								
2018	12	5003	S1A	D	X								
2018	12	5003	S1S2A	D		X							
2018	12	5007	S1A	D	X								
2018	12	5009	S1A	D	X								
2018	12	5010	S1A	D			X						
2018	12	5012	ACT	D		X							
2018	12	5012	S1A	D	X								
2018	12	5016	S1S2A	D			X						
2018	12	5020	ACT	D	X								
2018	12	5024	S1A	D			X						
2018	12	5026	S1A	D	X								
2018	12	5029	S1A	D	X								
2018	12	5032	OTHT	D	X						CPAt, ACCUPLACER		
2018	12	5032	S1A	D		X							
2018	12	5033	S1A	D	X								
2018	12	5037	ACT	D									X
2018	12	5037	S1A	D	X								
2018	12	5037	S1S2A	D			X						
2018	12	5037	SAT1	D									X
2018	12	5037	SAT2	D									X
2018	12	5039	S1A	D	X								
2018	12	5039	SAT2	D		X							
2018	12	5040	S1A	D	X								
2018	12	5040	S1S2A	D								X	
2018	12	5040	SAT2	D								X	
2018	12	5041	ACT	D								X	
2018	12	5041	S1A	D								X	
2018	12	5041	S1S2A	D									X
2018	12	5041	SAT1	D								X	
2018	12	5041	SAT2	D									X
2018	12	5043	S1A	D	X								
2018	12	5045	S1S2A	D	X								
2018	12	5046	S1A	D			X						
2018	12	5050	S1A	D	X								
2018	12	5050	SAT2	D								X	
2018	12	5051	ACT	D									X
2018	12	5051	S1A	D	X								
2018	12	5051	S1S2A	D									X
2018	12	5051	SAT1	D									X
2018	12	5051	SAT2	D									X
2018	12	5053	ACT	D			X						
2018	12	5054	S1A	D								X	
2018	12	5054	SAT2	D								X	
2018	12	5055	OTHT	D			X				ATI, TEAS for undergraduate pre-licensure students		
2018	12	5055	S1A	D			X						
2018	12	5058	S1A	D	X								
2018	12	5059	S1A	D		X							
2018	12	5061	S1A	D	X								
2018	12	5064	S1A	D	X								
