DATASET_YR	REPRJ_ID	INUN_ID	FT_N	PT_N	TOT_N	UG_FT_N	UG_PT_N	UG_TOT_N	FT_DEG_P	UG_RATIO	GRAD_STUD	FT_MEN_N	FT_WMN_N	PT_MEN_N	PT_WMN_N	TOT_MEN_N	TOT_WMN_N	FT_DEG_TERM_N	PT_DEG_TERM_N	TOT_DEG_TERM_N	UG_RATIO_FAC_N	UG_RATIO_STUD_N
2018	12	5000	266	183	449					13.00		158	108	93	90	251	198	209	63	272	327	3564
2018	12	5001	15	25	40					25.00		10	5	12	13	22	18	15	20	35		
2018	12	5002	94	68	162					24.00											117	2759
2018	12	5003	35	154	189					15.00		27	8	122	32	149	40	19	14	33	86	1316
2018	12	5004	265	1027	1292					14.00								45	206	251	1292	11672
2018	12	5007	37	48	85					6.00		20	17	28	20	48	37	24	21	45	53	322
2018	12	5008			246					15.00										202	246	3719
2018	12	5009	111	143	254					15.00		56	55	57	86	113	141	73	37	110	159	2352
2018	12	5010	335	727	1062					12.00		154	181	220	507	374	688	293	161	454	577	6879
2018	12	5011	90	166	256					17.00												
2018	12	5012	94	101	195					10.00		50	44	41	60	91	104	85	18	103	160	1573
2018	12	5013																				
2018	12	5016	80	40	120					10.00		27	53	13	27	40	80	78	19	97	93	916
2018	12	5017	57	143	200																	
2018	12	5018	91	182	273					18.00		43	48	112	70	155	118	14	4	18	152	2663
2018	12	5020	289	1	290					20.00		172	117	0	1	172	118	99	0	99	290	5814
2018	12	5024	124	156	280					12.00		73	51	102	54	175	105	79	72	151	176	2053
2018	12	5026	232	213	445					17.00								149	36	185	300	5096
2018	12	5029	3	9	12					4.00		3	0	8	1	11	1	0	1	1	12	50
2018	12	5031	28	54	82					10.00		12	16	23	31	35	47	19	9	28		
2018	12	5032	12	33	45							7	5	14	19	21	24	4	6	10		
2018	12	5033	101	31	132					14.00		56	45	15	16	71	61	84	18	102	132	1559
2018	12	5037	125	30	155					19.00		77	48	14	16	91	64	102	15	117	136	2620
2018	12	5038	40	82	122					16.00		28	12	48	34	76	46	25	2	27	67	1079
2018	12	5039	52	82	134					14.00		29	23	52	30	81	53	50	19	69		
2018	12	5040	110	64	174					12.00		60	50	33	31	93	81	101	28	129	131	1559
2018	12	5041	103	53	156					14.00		54	49	22	31	76	80	87	14	101	120	1664
2018	12	5042	328	653	981					23.00		138	190	258	395	396	585				981	24609
