DATASET_YR	REPRJ_ID	INUN_ID	ACAD_YR	CURRENCY_CODE	SCHOL_NB_FED_D	SCHOL_NN_FED_D	SCHOL_NB_STATE_D	SCHOL_NN_STATE_D	SCHOL_NB_EXT_D	SCHOL_NN_EXT_D	SCHOL_NB_INST_D	SCHOL_NN_INST_D	UG_PT_N_N	UG_PT_AP_N	FRSH_FT_ND_N	UG_PT_ND_N	FRSH_FT_NB_GIFT_N	UG_FT_NB_GIFT_N	UG_PT_NB_GIFT_N	FRSH_FT_NB_SH_N	UG_PT_AVG_PKG_D	UG_FT_NB_SH_N	UG_PT_NB_SH_N	FRSH_FT_NN_GIFT_N	UG_FT_NN_GIFT_N	UG_PT_NN_GIFT_N	FRSH_FT_NN_SH_N	UG_FT_NN_SH_N	UG_PT_NN_SH_N	FRSH_FT_ND_MET_N	UG_FT_ND_MET_N	UG_PT_ND_MET_N	UG_PT_ND_MET_P	UG_FT_N_N	FRSH_FT_N	UG_FT_AP_N	INTL_NO	FRSH_FT_AP_N	UG_FT_ND_N	INTL_AVG_D	INTL_RECD_N	INTL_NB	UG_FT_AVG_PKG_D	FRSH_FT_AVG_PKG_D	UG_FT_ND_MET_P	FRSH_FT_ND_MET_P	FORM_DOM_FAFSA	FORM_DOM_CSS	FORM_DOM_STATE	FORM_DOM_INST	FORM_DOM_OTH	FORM_DOM_OTH_T	FORM_DOM_PARENT	FORM_DOM_BUS	FORM_INTL_INST	FORM_INTL_CSS	FORM_INTL_FA_AP	FORM_INTL_CERTIF_FIN	FORM_INTL_OTH	FORM_INTL_OTH_T	AP_DL	AP_DL_NO	AP_DL_MON	AP_DL_DAY	AP_DL_PRIORITY	AP_DL_PRIORITY_MON	AP_DL_PRIORITY_DAY	AP_NOTF_ROLL	AP_NOTF_ROLL_MON	AP_NOTF_ROLL_DAY	AP_NOTIF_DL	AP_NOTF_DL_MON	AP_NOTF_DL_DAY	AP_REPLY_DL_MON	AP_REPLY_DL_DAY	AP_REPLY_DL_WEEK	UG_CLASS_LOAN_P	UG_CLASS_AVG_DEBT_D	LOAN_PERKINS	LOAN_DIRECT_PLUS	LOAN_DIRECT_STAFFORD_SUB	LOAN_DIRECT_STAFFORD_UNSUB	LOAN_NURSING	LOAN_STATE	LOAN_INST	LOAN_OTH	LOAN_OTH_T	LOAN_DIRECT_CONSOL	JOBS_FWS	JOBS_FWS_N	JOBS_FWS_AVG_D	SCHOL_NB	SCHOL_NB_UNCF	SCHOL_NB_NURSING	JOBS_PT	JOBS_PT_N	SCHOL_NB_PELL	SCHOL_NB_SEOG	SCHOL_NN_ROTC	SCHOL_NB_STATE	SCHOL_NB_PRIVATE	SCHOL_NB_INST	SCHOL_NB_OTH	SCHOL_NB_OTH_T	SCHOL_NN	SCHOL_NN_ACAD	SCHOL_NN_ACAD_N	SCHOL_NN_ACAD_D	SCHOL_NN_ART	SCHOL_NN_ART_N	SCHOL_NN_ART_D	SCHOL_NN_ACHV	SCHOL_NN_ACHV_N	SCHOL_NN_ACHV_D	SCHOL_NN_OTH	SCHOL_NN_OTH_T	SCHOL_NN_CHAR	SCHOL_NN_CHAR_N	SCHOL_NN_CHAR_D	SCHOL_NN_ATHL	SCHOL_NN_ATHL_MEN_N	SCHOL_NN_ATHL_MEN_D	SCHOL_NN_ATHL_WMN_N	SCHOL_NN_ATHL_WMN_D	INTL_NN	SH_NB_STUD_LOAN_D	SH_NN_STUD_LOAN_D	SH_NB_FWS_D	SH_NB_STATE_D	SH_NN_STATE_D	SH_NB_TOT_D	SH_NN_TOT_D	SCHOL_NN_ATHL_TOT_N	SCHOL_NN_ATHL_TOT_D	SCHOL_NN_TOT_D	SCHOL_NB_TOT_D	METH_FM	METH_IM	METH_FM_IM	LOAN_FFEL_STAFFORD_SUB	LOAN_FFEL_STAFFORD_UNSUB	LOAN_FFEL_PLUS	LOAN_FFEL_CONSOL	EST_OFF_I	NB_PARENT_D	NN_PARENT_D	NB_WAIVER_D	NN_WAIVER_D	NB_ATHL_D	NN_ATHL_D	FRESH_FT_REC_AID_N	UG_FT_REC_AID_N	UG_PT_REC_AID	FRSH_FT_AVG_NB_GIFT_D	UG_FT_AVG_NB_GIFT_D	UG_PT_AVG_NB_GIFT_D	FRESH_FT_AVG_NB_SH_D	UG_FT_AVG_NB_SH_D	UG_PT_AVG_NB_SH_D	FRESH_FT_AVG_NB_LOAN_D	UG_FT_AVG_NB_LOAN_D	UG_PT_AVG_NB_LOAN_D	FRESH_FT_NN_NONEED_N	UG_FT_NN_NONEED_N	UG_PT_NN_NONEED_N	FRESH_FT_NN_NONEED_D	UG_FT_NN_NONEED_D	UG_PT_NN_NONEED_D	FRESH_FT_NN_ATHL_N	UG_FT_NN_ATHL_N	UG_PT_NN_ATHL_N	FRESH_FT_NN_ATHL_D	UG_FT_NN_ATHL_D	UG_PT_NN_ATHL_D	JOBS_PT_AVG_D	URL_ADDRESS_FA	BCD_T	UG_FT_ND_PLUS_P	UG_FT_NONEED_PLUS_P	EFC_0_MIN_PKG_D	EFC_5000_MIN_PKG_D	EFC_10000_MIN_PKG_D	EFC_MAX_REC_AID_D	METH_FM_IM_GAP_D	INTL_NB_FA_OTH	INTL_NB_FA_OTH_T	INTL_NB_JOBS_PT	INTL_NB_LOAN_INST	INTL_NB_LOAN_NON_INST	INTL_NB_SCHOL_ATHL	INTL_NB_SCHOL_INST	INTL_NB_WAIVER	INTL_NN_FA_OTH	INTL_NN_FA_OTH_T	INTL_NN_JOBS_PT	INTL_NN_LOAN_INST	INTL_NN_LOAN_NON_INST	INTL_NN_SCHOL_ATHL	INTL_NN_SCHOL_INST	INTL_NN_WAIVER	UG_CLASS_LOAN_FED_P	UG_CLASS_AVG_DEBT_FED_D	LOAN_PERKINS_AVG_D	SCHOL_NB_SEOG_AVG_D	LOAN_PERKINS_P	SCHOL_NB_SEOG_P	UG_FT_AVG_NB_GIFT_2YR_D	UG_FT_AVG_NB_GIFT_3YR_D	UG_FT_AVG_NB_GIFT_4YR_D	UG_FT_NN_NONEED_2YR_D	UG_FT_NN_NONEED_3YR_D	UG_FT_NN_NONEED_4YR_D	URL_ADDRESS_SCHOL	UG_CLASS_N	UG_CLASS_LOAN_N	UG_CLASS_LOAN_FED_N	UG_CLASS_LOAN_INST_N	UG_CLASS_LOAN_INST_P	UG_CLASS_AVG_DEBT_INST_D	UG_CLASS_LOAN_STATE_N	UG_CLASS_LOAN_STATE_P	UG_CLASS_AVG_DEBT_STATE_D	UG_CLASS_LOAN_PRIVATE_N	UG_CLASS_LOAN_PRIVATE_P	UG_CLASS_AVG_DEBT_PRIVATE_D
2018	13	5000	2018		4466516.00	35396.00	3149629.00		1482072.00	209686.00	36531397.00	16604317.00			717		717	2368		465		1552		717	2356					195	633			3512	940	2877		828	2379	10639.00	134	X	23433.00	24361.00	67.00	69.00	X								X										X	3	1	X	4	1						3.00			X	X	X	X		X		X	private loans		X			X			X		X	X		X	X	X																							X	7065732.00	17484281.00	64407.00	23364.00	1885539.00	7153503.00	19369820.00			16849399.00	45629614.00	X									5611601.00	1006764.00	1100092	3599630.00	3146577.00	717	2376		22109.00	20532.00		3472.00	4516.00		3466.00	4489.00		241	1157		14953.00	13365.00									http://www.acu.edu/undergraduate/admissions/financial-aid.html											X			X	X				X			X	X														http://www.acu.edu/undergraduate/admissions/financial-aid/scholarships.html												
2018	13	5002	2014		6779666.00			2206295.00				3573814.00																																			X														X		7	1				X	5	15										X	X	X		X					X	133	1539.00	X					X	X		X	X	X																							X	4364963.00	5041774.00	204654.00			4569617.00	5041774.00			5780109.00	6779666.00	X									363900.00		439849		220121.00																										http://www.abac.edu/funding-my-education																						X		X													http://www.abac.edu/funding-my-education/scholarships												
2018	13	5003	2017		2281250.00	1902181.00	1427629.00	33798.00		137745.00	808753.00	1608976.00			224		196	885		175		760		71	387					33	157			1275	261	1203		256	993	4043.00	22		8245.00	8084.00	74.00	70.00	X		X													X						X	4	15						2.00	75.00	32014.00		X	X	X				X	private loans		X			X			X		X	X		X	X	X	X	Academic Competitiveness Grants, National SMART Grants, TEACH Grants																					X	3238806.00	633680.00	58747.00			3297553.00	633680.00			3682700.00	4517632.00	X								889333.00			44900			224	993		5424.00	4804.00		1868.00	2138.00		1709.00	2067.00		18	73		6146.00	2948.00									http://www.vaughn.edu/admissions_finaid.php																			X		X		X		75.00	28318.00												64	48	48	0	0.00		0	0.00		0	0.00	
2018	13	5004	2017		10945554.00	0.00	2433154.00	0.00	7014826.00	0.00	762870.00	0.00			306		231	1474		250		1649		32	138					9	51			4813	618	2115		331	1978	16690.00	75		11828.00	10984.00	34.00	31.00	X			X					X							X						X	3	15						2.00	59.00			X	X	X				X	alternative loans		X	100	4940.00	X					X	X		X	X	X																							X	30803288.00	0.00	488213.00	0.00	0.00	31291501.00	0.00			0.00	21156404.00	X								15776913.00	6140130.00	0.00	0	1665388.00	2075664.00	292	1940		10479.00	10925.00		3224.00	4107.00		3190.00	3948.00		28	69		3889.00	7290.00									http://www.academyart.edu/finances		14.00	1.00																			X	X		59.00	20167.00		522.00		10.00	6072.00	6894.00	5179.00	11324.00	14738.00	13755.00		22	13	13	0	0.00	0.00	0	0.00	0.00	3	14.00	68012.00
2018	13	5007	2009		73410.00	0.00	29021.00	0.00	10079.00	11891.00	416023.00	67856.00			20		20	63		6		31		3	7					7	30			136	43	92		28	66	13177.00	19	X	9987.00	11104.00	94.68	92.55	X			X	X	income tax form(s)			X						X		7	1	X	3	1							5	1	2.00	36.40	8299.00		X	X	X		X	X	X	private alternative loans					X			X		X	X		X	X	X					14	34000.00										2	6374.00						X	96540.00	120355.00	0.00	9235.00	53110.00	105775.00	173465.00			79747.00	528533.00			X						0.00	33423.00	0.00	354339	0.00	0.00	20	66		10011.00	8358.00		2506.00	3412.00		2506.00	3329.00		12	22		3115.00	2232.00									http://www.brynathyn.edu/admissions/finance		1.50	2.90								X	X	X		X	X			X	X	X		X	X	27.30	9468.00	0.00	221.00	0.00	16.90	6324.00	7323.00	4094.00	786.00	0.00	1000.00	http://www.brynathyn.edu/admissions/finance/scholarships.html												
2018	13	5008	2017																																							X					X			X									X	Student Aid Report (8-page version)					X	3	1	X	3	15				5	15	4.00				X	X	X										X										X																							X														X																																					http://www2.acadiau.ca/financial-aid.html											X			X	X				X			X	X														http://www2.acadiau.ca/financial-aid/scholarships-and-awards.html												
2018	13	5009	2018		4658208.00	9306.00	1962021.00	22687.00	1137513.00	223623.00	3226572.00	792268.00			295		282	1140		200		916		83	299					30	76			1506	365	1506		365	1199			X	13827.00	13775.00	64.00	65.00	X															X						X	3	1							72.00	24958.00	X	X	X	X				X	alternative loans		X			X			X		X	X		X	X	X																							X	6358447.00	560429.00	739269.00	1391369.00	193071.00	8489085.00	753500.00			1047884.00	10984314.00	X								1681537.00	422636.00	0.00	0	1507924.00	483489.00	293	1191		10223.00	9080.00		3910.00	4755.00		3222.00	4131.00		0	0		0.00	0.00									http://adams.edu/finaid/index.php											X			X					X						72.00	24326.00											http://adams.edu/finaid/scholarship_info.php	191	138	138	0	0.00	0.00	0	0.00	0.00	9	5.00	9683.00
2018	13	5010	2018		7797088.00	0.00	4958149.00	0.00	44821.00	2879903.00	41311101.00	17047132.00			835		607	2405		739		3025		573	2809					132	461			4858	1087	3910		972	3400	18250.00	90		21500.00	21500.00	45.00	52.00	X		X									X							X	3	1	X	12	15							61.00	35285.00	X	X	X	X	X						X	364	1835.00	X	X		X	1241	X	X		X	X	X	X	endowed and restricted scholarships and grants			3611	53684326.00		69	580930.00		496	499750.00				428	4225637.00						X	12770855.00	18410940.00	1595868.00	0.00	4086804.00	14366723.00	22497744.00			19927035.00	54111159.00			X						15032758.00	1366526.00	4836321.00	2500374	1894915.00	1494660.00	835	3400		19902.00	17300.00		4685.00	4724.00		3464.00	4181.00		157	985		17799.00	15523.00								2641	http://ecampus.adelphi.edu/sfs/index.php									X	no need-based institutional financial aid is offered to degree-seeking nonresident aliens									X		X	X	X		60.00	25517.00	2203.00	1190.00	7.00	9.00							http://ecampus.adelphi.edu/sfs/au_scholarships_grants.php	691	423	418	0	0.00	0.00	0	0.00	0.00	108	16.00	39441.00
2018	13	5011																																													X		X	X					X										X	4	15	X	5	1																			X	98	462.00	X					X	X		X	X	X																																																																																																																											
2018	13	5012	2014		3000557.00		1431740.00		1898132.00	390648.00	22203965.00	34360875.00			356		356	1327		331		1240		25	91					36	141			1536	423	1408		386	1332	21845.00	69	X	26336.00	27013.00	76.00	77.00	X								X			X							X	3	1	X	3	15				5	1	2.00	87.00	27741.00	X	X	X	X							X	1275	1500.00	X			X	75	X	X		X	X	X					1528	10418451.00		200	504317.00		40	70500.00				333	3263164.00						X	10698124.00	3039451.00	1312024.00		113400.00	12010148.00	3152851.00			34751523.00	28534394.00			X						1566406.00	1852626.00					356	1332		22843.00	21336.00		4485.00	5413.00		3296.00	4368.00		67	196		15800.00	14942.00								1500	http://www.adrian.edu/admissions/financial-aid		15.00	1.00												X								X		87.00	26637.00	3400.00	914.00	9.00	10.00	11836.00	10674.00	9304.00	5803.00	5341.00	4753.00													
2018	13	5013																																																																																																																																																																																																																															
2018	13	5016	2018		1778301.00		1268003.00	456465.00	458167.00	374465.00	17129032.00	6209932.00			209		209	676		176		571		37	143					41	150			885	251	743		228	677	24433.00	77	X	36231.00	36505.00	85.00	85.00	X				X	federal income tax form(s)					X	X			X		5	1	X	2	15	X	3	1				5	1		64.00	32276.00		X	X	X							X			X			X		X	X		X	X	X																							X	2571902.00	2639749.00	667289.00		46000.00	3239191.00	2685749.00			7040862.00	20633503.00			X						1139211.00	1039602.00	175638.00	157676			209	676		31186.00	30022.00		4432.00	5430.00		3388.00	4344.00		42	207		29363.00	27576.00									http://agnesscott.edu/admission/financial-aid/index.html											X				X				X				X		63.00	25594.00											http://agnesscott.edu/admission/financial-aid/agnes-scott-scholarships.html	180	115	114				11	6.00	21759.00	16	9.00	34665.00
2018	13	5017																																													X			X															X	3	1	X	6	1						4.00													X	48	3000.00	X					X	X		X	X	X																																																																										http://www.atc.edu/p25.aspx																																																	
2018	13	5018	2018																																												X																		X	4	15	X	4	1						3.00				X	X	X							X			X			X		X	X		X	X																																																																																																																												
2018	13	5020	2014		15042146.00	1880.00	42644.00	2000.00	645903.00	138074.00	6925765.00	788630.00			1134		1075	3244		951		3199		33	53					93	251			3930	1198	3784		1184	3618	17029.00	14		10708.00	11417.00	72.00	74.00	X																		X	3	1	X	2	15						2.00	77.00	38819.00	X	X	X	X				X	Sallie Mae Smart Option Loans		X			X					X	X		X	X	X																							X	27410147.00	1503990.00	333276.00	0.00	0.00	27743423.00	1503990.00			930584.00	22656458.00	X								7567562.00	1566656.00	91313.00	47125	2401531.00	793567.00	1106	3544		8415.00	7581.00		3664.00	4132.00		3563.00	4023.00		47	100		5035.00	6921.00									http://www.aamu.edu/admissions/fincialaid/pages/default.aspx																						X		X	77.00	36671.00											http://www2.aamu.edu/financial_aid/scholarships.aspx												
2018	13	5024	2017		5868984.00		891708.00	98314.00	741088.00	208144.00	4589399.00	726718.00			241		162	1058		97		246		177	1316					19	86			1771	312	1482		241	1482	13982.00	53		11980.00	15296.00	52.00	61.00	X		X	X					X						X		8	1	X	3	15				X	5	1			3.00	76.00	33622.00	X	X	X	X							X	208	1271.00	X			X		X	X		X	X	X																							X	12448407.00	1064248.00	283994.00	1254.00	1676.00	12733655.00	1065924.00			1033176.00	12091179.00	X								1417031.00	769927.00	520310.00	170445	2129038.00	1212317.00	227	1408		5021.00	4691.00		960.00	1151.00		3184.00	3789.00		28	80		7566.00	6701.00									http://www.faulkner.edu/finaid/default.aspx		84.00												X	X							X	X		76.00	31629.00											http://www.faulkner.edu/finaid/scholarships.aspx	38	29	29	0	0.00		0	0.00		29	11.00	14450.00
2018	13	5026	2018		15606218.00	278133.00	139480.00	5462760.00	61625.00	817861.00	839130.00	5963690.00			779		651	3136		591		3039		280	1816					234	1687			3866	967	3722		780	3643	23766.00	47	X	16124.00	16694.00	79.00	77.00	X								X							X			X	4	1	X	5	1							81.00	34691.00	X	X	X	X							X	530	1687.00	X	X		X	480	X	X		X	X	X																								10949804.00	12680671.00	1424141.00	0.00	283779.00	12373945.00	12964450.00			12522444.00	16646453.00	X								12408966.00	1827286.00	450727.00	411775	3524411.00	657559.00	756	3611		5764.00	5368.00		3708.00	4191.00		3392.00	3809.00		9	61		11803.00	9364.00								620	http://www.alasu.edu/cost-aid/index.aspx																			X			X	X		81.00	33472.00												604	491	490	0	0.00	0.00	0	0.00	0.00	31	5.00	21020.00
